start,end,category,label
2025-06-13,2025-06-24,iran-geo,"Israel-Iran Twelve-Day War"
2025-07-07,2025-07-16,tariff,"Tariff-letter barrage + copper spike + Powell scare"
2025-07-30,2025-08-07,tariff,"Tariff finalization window (Aug 1 triple shock)"
2025-10-10,2025-10-17,tariff,"US-China rare-earth/100%-tariff war week"
2025-11-29,2025-12-18,other,"Venezuela escalation window"
2026-02-20,2026-02-24,tariff,"Tariff regime flip (SCOTUS + Section 122)"
2026-02-28,2026-04-07,iran-geo,"2026 Iran war acute phase"
2026-04-07,2026-04-22,iran-geo,"Ceasefire whipsaw window"
2026-05-04,2026-05-08,iran-geo,"Ceasefire-scare spike -> deal-hope rally"
2026-05-17,2026-05-28,iran-geo,"Rejection selloff -> US strikes -> extension relief"
2026-06-09,2026-06-18,iran-geo,"Peak whipsaw: threat -> cancellation -> deal -> hawkish FOMC"
2026-06-26,2026-06-29,iran-geo,"Post-MOU tit-for-tat strikes"
