entry_ts,exit_ts,entry_bar,exit_bar,entry_price,exit_price,trigger,exit_reason,hold_bars,pnl,winner
2024-12-20 11:32:00+00:00,2024-12-29 12:16:00+00:00,579,714,93507.0,94989.0,crossunder_lower,midline_return,135,1478.0,True
2025-01-05 06:27:00+00:00,2025-01-06 09:23:00+00:00,996,1047,98379.0,99128.0,crossunder_lower,midline_return,51,745.0,True
2025-04-29 03:41:00+00:00,2025-05-02 01:58:00+00:00,4919,4970,94726.0,97075.0,crossunder_lower,midline_return,51,2345.0,True
2025-05-13 06:59:00+00:00,2025-05-18 09:32:00+00:00,5389,5553,102564.0,104002.0,crossunder_lower,midline_return,164,1434.0,True
2025-06-30 21:13:00+00:00,2025-07-03 04:15:00+00:00,6485,6499,107494.0,108876.0,crossunder_lower,midline_return,14,1378.0,True
2025-07-15 23:59:00+00:00,2025-07-20 19:51:00+00:00,7114,7251,117854.0,118453.0,crossunder_lower,midline_return,137,595.0,True
2025-07-21 23:39:00+00:00,2025-07-22 10:11:00+00:00,7264,7266,117587.0,118481.0,crossunder_lower,midline_return,2,890.0,True
2025-07-25 22:50:00+00:00,2025-07-26 14:53:00+00:00,7284,7340,117370.0,118253.0,crossunder_lower,midline_return,56,879.0,True
2025-08-14 23:03:00+00:00,2025-08-15 04:18:00+00:00,8123,8132,118342.0,119274.0,crossunder_lower,midline_return,9,928.0,True
2025-09-09 19:09:00+00:00,2025-09-10 07:16:00+00:00,9430,9459,111267.0,111917.0,crossunder_lower,midline_return,29,646.0,True
2025-09-13 11:18:00+00:00,2025-09-14 11:08:00+00:00,9629,9817,115985.0,116184.0,crossunder_lower,midline_return,188,195.0,True
2025-10-05 00:35:00+00:00,2025-10-23 07:04:00+00:00,11239,11442,122467.0,110204.0,crossunder_lower,midline_return,203,-12267.0,False
2025-10-31 23:29:00+00:00,2025-11-01 16:52:00+00:00,11726,11846,109573.0,109931.0,crossunder_lower,midline_return,120,354.0,True
2025-11-01 22:23:00+00:00,2025-11-01 22:28:00+00:00,12160,12163,109919.0,109986.0,crossunder_lower,midline_return,3,63.0,True
2025-12-23 06:11:00+00:00,2025-12-24 22:55:00+00:00,13544,13594,87652.0,87971.0,crossunder_lower,midline_return,50,315.0,True
2025-12-28 16:08:00+00:00,2025-12-29 11:43:00+00:00,14315,14379,87829.0,87615.0,crossunder_lower,midline_return,64,-218.0,False
2025-12-31 21:40:00+00:00,2026-01-01 12:29:00+00:00,14499,14631,87743.0,87914.0,crossunder_lower,midline_return,132,167.0,True
