date,daily_pnl,cumulative_pnl,drawdown
2025-05-22,-855.5,-855.5,0.0
2025-05-23,836.0,-19.5,0.0
2025-05-28,-163.0,-182.5,163.0
2025-06-13,-1049.0,-1231.5,1212.0
2025-06-15,-314.0,-1545.5,1526.0
2025-06-16,428.0,-1117.5,1098.0
2025-06-18,507.0,-610.5,591.0
2025-06-20,-224.0,-834.5,815.0
2025-06-25,194.5,-640.0,620.5
2025-06-26,66.0,-574.0,554.5
2025-06-27,-634.0,-1208.0,1188.5
2025-06-30,147.0,-1061.0,1041.5
2025-07-07,577.0,-484.0,464.5
2025-07-10,18.5,-465.5,446.0
2025-07-14,-855.5,-1321.0,1301.5
2025-07-16,-618.0,-1939.0,1919.5
2025-07-17,-159.0,-2098.0,2078.5
2025-07-18,817.0,-1281.0,1261.5
2025-07-21,-241.5,-1522.5,1503.0
2025-07-24,114.5,-1408.0,1388.5
2025-07-25,-654.0,-2062.0,2042.5
2025-07-30,-841.5,-2903.5,2884.0
2025-08-04,536.0,-2367.5,2348.0
2025-08-07,365.5,-2002.0,1982.5
2025-08-11,-420.5,-2422.5,2403.0
2025-08-13,71.0,-2351.5,2332.0
2025-08-22,-991.5,-3343.0,3323.5
2025-08-27,-63.0,-3406.0,3386.5
2025-08-28,-88.0,-3494.0,3474.5
2025-09-15,323.5,-3170.5,3151.0
2025-09-17,-19.0,-3189.5,3170.0
2025-09-19,-279.0,-3468.5,3449.0
2025-09-22,-91.5,-3560.0,3540.5
2025-10-02,221.0,-3339.0,3319.5
2025-10-03,39.5,-3299.5,3280.0
2025-10-06,755.5,-2544.0,2524.5
2025-10-08,-269.0,-2813.0,2793.5
2025-10-09,982.0,-1831.0,1811.5
2025-10-10,984.5,-846.5,827.0
2025-10-15,225.0,-621.5,602.0
2025-10-16,-729.0,-1350.5,1331.0
2025-10-17,955.5,-395.0,375.5
2025-10-23,-444.0,-839.0,819.5
2025-10-24,573.5,-265.5,246.0
2025-10-29,489.5,224.0,0.0
2025-10-31,1106.0,1330.0,0.0
2025-11-03,534.5,1864.5,0.0
2025-11-05,341.0,2205.5,0.0
2025-11-10,-679.0,1526.5,679.0
2025-11-12,-211.5,1315.0,890.5
2025-11-17,1625.5,2940.5,0.0
2025-11-19,106.0,3046.5,0.0
2025-11-21,1556.0,4602.5,0.0
2025-11-26,-598.0,4004.5,598.0
2025-12-17,1284.5,5289.0,0.0
2025-12-18,574.5,5863.5,0.0
2025-12-19,-1420.5,4443.0,1420.5
2025-12-24,-229.0,4214.0,1649.5
2025-12-26,62.0,4276.0,1587.5
2026-01-05,-1433.0,2843.0,3020.5
2026-01-07,-766.5,2076.5,3787.0
2026-01-08,-566.5,1510.0,4353.5
2026-01-09,-447.0,1063.0,4800.5
2026-01-12,-841.5,221.5,5642.0
2026-01-14,642.0,863.5,5000.0
2026-01-15,-349.5,514.0,5349.5
2026-01-16,324.5,838.5,5025.0
2026-01-21,744.5,1583.0,4280.5
2026-01-22,73.5,1656.5,4207.0
2026-01-23,-1329.0,327.5,5536.0
2026-01-26,-741.5,-414.0,6277.5
2026-01-28,363.0,-51.0,5914.5
2026-02-04,791.0,740.0,5123.5
2026-02-09,-1003.0,-263.0,6126.5
2026-02-11,1334.5,1071.5,4792.0
2026-02-13,-1229.0,-157.5,6021.0
2026-02-16,308.5,151.0,5712.5
2026-02-18,2098.0,2249.0,3614.5
2026-02-19,-1356.0,893.0,4970.5
2026-02-20,1634.0,2527.0,3336.5
2026-02-25,-204.0,2323.0,3540.5
2026-02-26,977.0,3300.0,2563.5
2026-02-27,-125.5,3174.5,2689.0
2026-03-06,-1029.0,2145.5,3718.0
2026-03-09,1121.0,3266.5,2597.0
2026-03-11,428.0,3694.5,2169.0
2026-03-13,-604.0,3090.5,2773.0
2026-03-16,-217.0,2873.5,2990.0
2026-03-18,-541.5,2332.0,3531.5
2026-03-25,1637.0,3969.0,1894.5
2026-04-01,-829.0,3140.0,2723.5
2026-04-02,286.0,3426.0,2437.5
2026-04-03,-629.0,2797.0,3066.5
2026-04-05,26.0,2823.0,3040.5
2026-04-06,772.5,3595.5,2268.0
2026-04-09,-766.5,2829.0,3034.5
2026-04-10,-529.0,2300.0,3563.5
2026-04-16,-1216.5,1083.5,4780.0
2026-04-20,1367.0,2450.5,3413.0
2026-04-22,-995.5,1455.0,4408.5
2026-04-27,545.5,2000.5,3863.0
2026-04-29,-1731.0,269.5,5594.0
2026-05-01,-129.0,140.5,5723.0
2026-05-04,191.0,331.5,5532.0
2026-05-06,-829.0,-497.5,6361.0
2026-05-07,899.0,401.5,5462.0
2026-05-11,-1333.0,-931.5,6795.0
2026-05-13,227.0,-704.5,6568.0
2026-05-14,2473.0,1768.5,4095.0
