slow_length,entry_line,exit_type,mtf_slope_filter,trade_count,win_rate_pct,profit_factor,avg_hold_bars,total_pnl,sharpe
200,lower,timeout,True,857,51.5,1.0897,481.0,32633.0,0.62
500,mid,upper_rail,False,3248,73.2,1.0704,118.9,38020.0,0.77
200,upper,midline,True,3724,38.7,1.0589,53.6,24037.0,0.64
400,lower,timeout,False,1341,51.7,1.0564,480.9,32963.0,0.49
300,mid,timeout,True,847,51.1,1.0504,481.0,18057.0,0.33
200,mid,timeout,True,958,50.4,1.0451,481.0,18847.0,0.34
200,upper,timeout,True,1187,51.9,1.0372,481.0,18856.0,0.31
400,mid,upper_rail,False,3886,72.7,1.0355,100.8,21593.0,0.42
300,lower,timeout,False,1395,51.4,1.0296,480.9,18312.0,0.28
300,mid,upper_rail,False,4911,71.9,1.0295,78.3,19772.0,0.39
400,lower,upper_rail,False,2534,65.6,1.0251,155.3,14864.0,0.3
300,mid,midline,True,2361,54.3,1.0245,41.4,4327.0,0.16
200,lower,midline,False,7153,68.5,1.0186,41.5,14905.0,0.34
400,upper,upper_rail,False,7178,58.0,1.018,55.3,10757.0,0.21
400,lower,midline,False,3937,70.8,1.0176,75.0,10637.0,0.23
400,lower,timeout,True,481,51.4,1.0172,481.0,3803.0,0.11
300,lower,midline,False,5006,69.7,1.0141,59.1,9405.0,0.21
400,mid,timeout,False,1402,49.4,1.014,480.7,8593.0,0.12
300,upper,timeout,False,1388,50.4,1.0126,481.0,7689.0,0.11
500,upper,timeout,True,1032,51.7,1.0122,481.0,5344.0,0.09
200,lower,timeout,False,1465,51.1,1.0104,480.7,6812.0,0.1
500,lower,timeout,False,1294,52.2,1.0083,480.8,4722.0,0.07
200,lower,upper_rail,False,4655,62.8,1.008,85.0,6323.0,0.12
500,lower,midline,False,3257,71.2,1.0078,91.4,4294.0,0.09
400,upper,timeout,True,1072,51.3,1.0047,481.0,2201.0,0.04
500,mid,timeout,False,1351,50.5,1.0,481.0,-17.0,-0.0
500,lower,timeout,True,457,49.2,0.9965,481.0,-712.0,-0.02
500,lower,upper_rail,False,2085,66.0,0.9949,188.2,-2786.0,-0.05
300,lower,upper_rail,False,3215,64.4,0.9914,122.5,-5760.0,-0.11
400,mid,midline,True,2146,53.4,0.9901,47.7,-1619.0,-0.06
500,upper,timeout,False,1287,50.4,0.99,481.0,-5817.0,-0.09
300,mid,timeout,False,1444,50.1,0.9886,480.9,-7282.0,-0.11
200,upper,midline,False,6851,37.1,0.9886,61.6,-10327.0,-0.18
200,upper,timeout,False,1459,49.3,0.9858,480.8,-9149.0,-0.13
300,mid,upper_rail,True,1714,69.1,0.9827,91.8,-4289.0,-0.14
200,mid,timeout,False,1498,50.0,0.9791,480.8,-14070.0,-0.2
300,lower,timeout,True,602,50.5,0.9786,481.0,-5826.0,-0.14
500,mid,upper_rail,True,1260,69.8,0.9776,122.2,-4753.0,-0.17
200,upper,upper_rail,False,10142,57.0,0.977,38.9,-18646.0,-0.35
400,upper,upper_rail,True,3743,61.1,0.9754,60.0,-8238.0,-0.21
400,mid,upper_rail,True,1433,70.3,0.9747,111.1,-5903.0,-0.2
300,lower,midline,True,1027,68.4,0.9687,73.6,-4649.0,-0.23
300,upper,midline,True,2890,36.6,0.966,75.7,-13468.0,-0.34
400,lower,upper_rail,True,611,63.3,0.9624,164.3,-5447.0,-0.25
500,mid,midline,False,7190,45.7,0.9606,55.3,-23996.0,-0.46
400,mid,timeout,True,817,49.2,0.9593,481.0,-13989.0,-0.29
300,upper,timeout,True,1132,49.6,0.9512,481.0,-24448.0,-0.39
200,mid,upper_rail,False,6851,70.5,0.9506,53.7,-39799.0,-0.81
500,mid,timeout,True,797,49.1,0.9472,481.0,-18702.0,-0.38
400,upper,timeout,False,1347,50.0,0.947,481.0,-33582.0,-0.47
300,mid,midline,False,9445,46.3,0.9437,42.0,-42260.0,-0.79
400,mid,midline,False,8156,46.6,0.9412,49.6,-40076.0,-0.72
300,upper,upper_rail,False,8178,57.5,0.9389,48.3,-43101.0,-0.79
400,upper,midline,True,2452,33.9,0.9357,96.6,-26167.0,-0.62
500,upper,upper_rail,True,3419,58.4,0.9342,62.9,-20582.0,-0.52
300,lower,upper_rail,True,872,62.6,0.9339,134.2,-12439.0,-0.49
200,mid,midline,True,3131,59.3,0.9322,32.6,-15508.0,-0.59
500,lower,midline,True,605,68.4,0.9317,108.8,-7958.0,-0.42
300,upper,midline,False,4908,34.7,0.9286,82.4,-54890.0,-0.94
400,upper,midline,False,3863,33.6,0.9269,102.3,-49677.0,-0.89
500,upper,midline,False,3186,32.8,0.9173,123.6,-52397.0,-0.96
200,lower,upper_rail,True,1633,60.3,0.9156,95.8,-25742.0,-0.78
200,mid,upper_rail,True,2471,69.0,0.9143,67.0,-28522.0,-0.87
200,mid,midline,False,11524,46.1,0.9141,34.2,-76958.0,-1.47
200,lower,midline,True,1936,65.5,0.9134,53.3,-21825.0,-0.84
300,upper,upper_rail,True,4254,62.3,0.9124,54.9,-34080.0,-0.81
200,upper,upper_rail,True,5084,65.7,0.9022,46.0,-46845.0,-1.14
500,upper,midline,True,2065,33.1,0.897,120.1,-40098.0,-0.99
500,lower,upper_rail,True,537,64.1,0.8935,195.8,-15628.0,-0.68
500,upper,upper_rail,False,6531,57.0,0.8917,61.6,-66878.0,-1.25
400,lower,midline,True,700,66.7,0.8726,92.0,-15758.0,-0.83
500,mid,midline,True,1959,48.2,0.8438,52.8,-26960.0,-0.97
