day,dir,entry,exit,reason,pnl_pts,entry_t,exit_t
2025-01-24,-1,21868.0,21908.5,EOD,-40.5,14:01,16:00
2025-01-28,1,21466.75,21575.75,EOD,109.0,10:31,16:00
2025-01-29,-1,21400.0,21530.0,EOD,-130.0,14:31,16:00
2025-01-31,1,21867.25,21580.25,EOD,-287.0,10:01,16:00
2025-02-04,1,21558.5,21668.0,EOD,109.5,10:01,16:00
2025-02-07,-1,21744.5,21588.25,EOD,156.25,10:31,16:00
2025-02-13,1,22038.0,22109.0,EOD,71.0,11:01,16:00
2025-02-20,-1,22011.0,22145.25,EOD,-134.25,10:01,16:00
2025-02-21,-1,22005.0,21682.0,EOD,323.0,10:31,16:00
2025-02-24,-1,21568.75,21421.75,EOD,147.0,10:01,16:00
2025-02-25,-1,21262.0,21150.25,EOD,111.75,10:01,16:00
2025-02-26,1,21366.0,21192.0,EOD,-174.0,11:31,16:00
2025-02-27,-1,21007.25,20608.5,EOD,398.75,10:01,16:00
2025-02-28,1,20755.75,20920.25,EOD,164.5,10:31,16:00
2025-03-06,-1,20370.0,20308.5,EOD,61.5,12:32,16:00
2025-03-13,-1,19571.25,19454.25,EOD,117.0,10:01,16:00
2025-03-14,1,19885.25,19912.5,EOD,27.25,12:03,16:00
2025-03-17,1,20127.5,20038.75,EOD,-88.75,14:31,16:00
2025-03-18,-1,19673.5,19706.5,EOD,-33.0,10:01,16:00
2025-03-19,1,19905.5,19953.0,EOD,47.5,12:31,16:00
2025-03-26,-1,20316.5,20112.5,EOD,204.0,10:01,16:00
2025-03-28,-1,19639.0,19461.25,EOD,177.75,10:31,16:00
2025-04-01,1,19593.25,19603.25,EOD,10.0,12:01,16:00
2025-04-02,1,19768.25,19745.75,EOD,-22.5,12:31,16:00
2025-04-03,-1,18766.0,18686.0,EOD,80.0,11:01,16:00
2025-04-04,-1,17915.75,17535.75,EOD,380.0,10:31,16:00
2025-04-07,1,17783.5,17560.75,EOD,-222.75,14:01,16:00
2025-04-08,1,18248.0,17270.25,REVERSAL,-977.75,10:01,15:31
2025-04-08,-1,17270.25,17238.25,EOD,32.0,15:31,16:00
2025-04-09,1,17447.5,19272.0,EOD,1824.5,10:01,16:00
2025-04-10,-1,18659.75,18483.25,EOD,176.5,10:01,16:00
2025-04-21,-1,17994.75,17922.25,EOD,72.5,10:01,16:00
2025-04-22,1,18340.75,18379.75,EOD,39.0,11:01,16:00
2025-04-24,1,19052.5,19319.25,EOD,266.75,10:01,16:00
2025-04-28,-1,19320.0,19524.0,EOD,-204.0,11:31,16:00
2025-04-30,-1,19113.75,19642.5,EOD,-528.75,10:01,16:00
2025-05-08,1,20331.25,20152.75,EOD,-178.5,13:01,16:00
2025-05-13,1,21125.25,21270.5,EOD,145.25,10:01,16:00
2025-05-21,-1,21097.5,21148.75,EOD,-51.25,15:31,16:00
2025-05-22,1,21286.5,21183.75,EOD,-102.75,10:01,16:00
2025-05-27,1,21369.5,21465.75,EOD,96.25,10:31,16:00
2025-05-30,-1,21258.75,21369.5,EOD,-110.75,10:01,16:00
2025-06-16,1,22151.25,22175.75,EOD,24.5,10:01,16:00
2025-06-17,-1,21936.75,21956.75,EOD,-20.0,14:31,16:00
2025-06-20,-1,21818.0,21842.75,EOD,-24.75,11:01,16:00
2025-06-23,1,21984.75,22073.0,EOD,88.25,10:31,16:00
2025-06-24,1,22425.75,22405.25,EOD,-20.5,15:01,16:00
2025-07-01,-1,22688.0,22693.0,EOD,-5.0,11:01,16:00
2025-07-02,1,22790.75,22844.5,EOD,53.75,10:31,16:00
2025-07-09,1,23085.5,23051.25,EOD,-34.25,10:01,16:00
2025-07-10,-1,22961.0,23015.0,EOD,-54.0,10:01,16:00
2025-07-14,1,23050.75,23034.5,EOD,-16.25,13:31,16:00
2025-07-16,-1,22968.25,23074.5,EOD,-106.25,10:01,16:00
2025-07-17,1,23154.25,23257.75,EOD,103.5,10:31,16:00
2025-07-18,-1,23194.25,23226.75,EOD,-32.5,10:31,16:00
2025-07-21,1,23376.25,23344.25,EOD,-32.0,10:01,16:00
2025-07-22,-1,23141.75,23222.0,EOD,-80.25,10:01,16:00
2025-07-25,1,23463.5,23422.5,EOD,-41.0,12:31,16:00
2025-07-31,-1,23388.5,23354.0,EOD,34.5,14:01,16:00
2025-08-01,-1,22870.25,22880.75,EOD,-10.5,10:01,16:00
2025-08-04,1,23246.75,23297.0,EOD,50.25,10:01,16:00
2025-08-05,-1,23180.75,23133.75,EOD,47.0,11:01,16:00
2025-08-06,1,23282.25,23424.75,EOD,142.5,11:01,16:00
2025-08-08,1,23643.75,23713.75,EOD,70.0,10:01,16:00
2025-08-12,1,23833.5,23934.0,EOD,100.5,11:31,16:00
2025-08-15,-1,23803.5,23805.75,EOD,-2.25,10:01,16:00
2025-08-19,-1,23677.5,23471.0,EOD,206.5,10:01,16:00
2025-08-20,-1,23173.75,23324.75,EOD,-151.0,10:01,16:00
2025-08-22,1,23554.25,23565.0,EOD,10.75,10:31,16:00
2025-08-28,1,23754.75,23766.5,EOD,11.75,12:31,16:00
2025-09-15,1,24502.5,24553.0,EOD,50.5,10:01,16:00
2025-09-17,-1,24412.75,24475.5,EOD,-62.75,11:31,16:00
2025-09-18,1,24786.25,24698.5,EOD,-87.75,10:31,16:00
2025-09-22,1,24972.5,24998.75,EOD,26.25,12:31,16:00
2025-09-23,-1,24940.5,24830.5,EOD,110.0,10:01,16:00
2025-09-24,-1,24679.75,24739.75,EOD,-60.0,12:01,16:00
2025-09-25,-1,24452.5,24631.75,EOD,-179.25,10:01,16:00
2025-09-26,1,24706.25,24725.75,EOD,19.5,10:01,16:00
2025-09-29,1,24941.75,24837.0,EOD,-104.75,10:01,16:00
2025-10-01,1,24984.0,25011.5,EOD,27.5,13:31,16:00
2025-10-03,-1,24973.75,24996.25,EOD,-22.5,14:01,16:00
2025-10-07,-1,25075.0,25045.0,EOD,30.0,11:31,16:00
2025-10-08,1,25174.0,25329.25,EOD,155.25,10:01,16:00
2025-10-09,-1,25251.75,25294.75,EOD,-43.0,10:31,16:00
2025-10-10,-1,25194.0,24402.5,EOD,791.5,11:01,16:00
2025-10-13,1,24887.25,24921.25,EOD,34.0,10:01,16:00
2025-10-14,-1,24575.25,24756.5,EOD,-181.25,10:01,16:00
2025-10-15,1,25101.5,24924.75,EOD,-176.75,10:31,16:00
2025-10-16,-1,24697.25,24831.0,EOD,-133.75,14:31,16:00
2025-10-17,1,24909.0,24988.25,EOD,79.25,10:31,16:00
2025-10-20,1,25222.0,25300.25,EOD,78.25,10:01,16:00
2025-10-21,-1,25235.0,25291.25,EOD,-56.25,10:01,16:00
2025-10-22,-1,25125.5,25040.0,EOD,85.5,10:31,16:00
2025-10-23,1,25160.5,25252.25,EOD,91.75,10:01,16:00
2025-10-30,-1,26019.75,25871.75,EOD,148.0,10:31,16:00
2025-11-05,1,25686.25,25740.75,EOD,54.5,10:01,16:00
2025-11-06,-1,25513.5,25258.75,EOD,254.75,10:01,16:00
2025-11-07,-1,25006.5,25164.5,EOD,-158.0,10:01,16:00
2025-11-10,1,25637.25,25713.25,EOD,76.0,10:01,16:00
2025-11-13,-1,25382.0,25100.0,EOD,282.0,10:01,16:00
2025-11-14,1,25241.25,25105.5,EOD,-135.75,11:31,16:00
2025-11-17,-1,24756.25,24887.25,EOD,-131.0,15:01,16:00
2025-11-18,-1,24522.5,24585.0,EOD,-62.5,10:01,16:00
2025-11-19,1,24894.0,24724.25,EOD,-169.75,10:01,16:00
2025-11-20,-1,24449.25,24137.75,EOD,311.5,12:31,16:00
2025-11-21,1,24477.5,24313.5,EOD,-164.0,14:01,16:00
2025-11-24,1,24683.5,24935.5,EOD,252.0,10:01,16:00
2025-12-05,1,26095.25,25976.75,EOD,-118.5,10:37,16:00
2025-12-08,-1,25849.0,25922.5,EOD,-73.5,14:43,16:00
2025-12-11,-1,25668.25,25973.25,EOD,-305.0,10:01,16:00
2025-12-12,-1,25576.75,25466.5,EOD,110.25,10:31,16:00
2025-12-17,-1,25058.5,24892.5,EOD,166.0,11:01,16:00
2025-12-19,1,25559.5,25581.25,EOD,21.75,10:01,16:00
2025-12-31,-1,25477.75,25454.75,EOD,23.0,15:31,16:00
