entry_time,direction,entry,stop,target,pnl,exit_reason,quality_score,killzone_window,fvg_size,date,year
2023-12-01 08:00:00,bearish,16154.875,16156.5625,16151.5,-33.75,stop,83.11047570850202,,225.0,2023-12-01,2023
2023-12-01 08:15:00,bullish,16164.25,16160.875,16171.0,135.0,target,74.43588235294119,,110.0,2023-12-01,2023
2023-12-01 08:45:00,bullish,16180.0,16153.0,16234.0,-540.0,stop,66.18588235294119,,140.0,2023-12-01,2023
2023-12-01 08:50:00,bullish,16180.25,16152.875,16235.0,-547.5,stop,59.18588235294119,,100.0,2023-12-01,2023
2024-04-04 18:25:00,bearish,18391.25,18534.5,18104.75,5730.0,target,80.42072057062646,,480.0,2024-04-04,2024
2024-04-04 18:40:00,bearish,18294.625,18582.8125,17718.25,1937.5,timeout,74.42072057062646,,1175.0,2024-04-04,2024
2024-05-07 08:15:00,bearish,18164.0,18186.875,18118.25,-457.5,stop,81.99836592802613,,250.0,2024-05-07,2024
2024-05-07 08:20:00,bearish,18168.125,18184.8125,18134.75,-333.75,stop,79.99836592802613,,425.0,2024-05-07,2024
2024-05-07 08:25:00,bearish,18166.375,18185.6875,18127.75,-386.25,stop,77.99836592802613,,455.0,2024-05-07,2024
2024-05-07 08:35:00,bearish,18179.125,18179.3125,18178.75,-3.75,stop,73.99836592802613,,255.0,2024-05-07,2024
2024-05-08 14:35:00,bullish,18201.125,18150.6875,18302.0,-1008.75,stop,78.74123110720555,NY PM,335.0,2024-05-08,2024
2024-05-29 14:25:00,bullish,18835.625,18829.8125,18847.25,232.5,target,82.56644340055009,NY PM,385.0,2024-05-29,2024
2024-07-18 14:05:00,bullish,20107.25,20102.0,20117.75,-105.0,stop,78.71187257196932,NY PM,1610.0,2024-07-18,2024
2024-07-18 12:55:00,bullish,20139.125,20086.0625,20245.25,-1061.25,stop,60.83687257196932,,85.0,2024-07-18,2024
2024-10-04 14:35:00,bearish,20043.5,20055.125,20020.25,-232.5,stop,81.6641418525702,NY PM,990.0,2024-10-04,2024
2024-12-19 12:35:00,bullish,21652.25,21522.125,21912.5,-2602.5,stop,71.75087455449642,,490.0,2024-12-19,2024
2024-12-19 12:40:00,bullish,21652.75,21521.875,21914.5,-2617.5,stop,69.75087455449642,,440.0,2024-12-19,2024
2024-12-19 12:30:00,bullish,21654.0,21521.25,21919.5,-2655.0,stop,63.75087455449641,,120.0,2024-12-19,2024
2024-12-31 09:35:00,bullish,21485.125,21366.0625,21723.25,-2381.25,stop,75.71414246119727,,515.0,2024-12-31,2024
2025-04-01 10:25:00,bullish,19414.125,19041.1875,20160.0,2197.5,timeout,83.8319340688706,NY AM,885.0,2025-04-01,2025
2025-04-01 10:30:00,bullish,19389.0,19053.75,20059.5,2655.0,timeout,81.8319340688706,NY AM,1860.0,2025-04-01,2025
2025-04-01 10:35:00,bullish,19386.125,19055.1875,20048.0,3022.5,timeout,79.8319340688706,NY AM,1495.0,2025-04-01,2025
2025-04-24 11:00:00,bearish,18799.375,19059.0625,18280.0,-5193.75,stop,80.85726780638429,,1075.0,2025-04-24,2025
2025-09-24 20:10:00,bullish,24749.25,24740.25,24767.25,-180.0,stop,78.18468601337032,,190.0,2025-09-24,2025
2025-09-24 20:25:00,bullish,24748.375,24740.6875,24763.75,-153.75,stop,73.43468601337032,,255.0,2025-09-24,2025
2025-09-24 20:30:00,bullish,24747.5,24741.125,24760.25,-127.5,stop,65.18468601337032,,150.0,2025-09-24,2025
2025-09-24 20:35:00,bullish,24745.625,24742.0625,24752.75,142.5,target,57.55968601337033,,105.0,2025-09-24,2025
2025-11-10 09:25:00,bullish,25550.625,24792.9375,27066.0,3987.5,timeout,73.22428165311885,,615.0,2025-11-10,2025
2025-11-10 09:30:00,bullish,25550.375,24793.0625,27065.0,3992.5,timeout,71.22428165311885,,765.0,2025-11-10,2025
2025-11-10 09:35:00,bullish,25539.75,24798.375,27022.5,3640.0,timeout,69.22428165311885,,420.0,2025-11-10,2025
2025-11-14 15:05:00,bullish,24933.375,24708.5625,25383.0,5672.5,timeout,74.95836371977623,,1485.0,2025-11-14,2025
2025-11-14 15:10:00,bullish,24917.0,24716.75,25317.5,8010.0,target,72.95836371977623,,2110.0,2025-11-14,2025
2025-11-25 14:55:00,bearish,24720.875,24904.0625,24354.5,-3663.75,stop,82.48770796399512,NY PM,3315.0,2025-11-25,2025
2025-11-25 15:00:00,bearish,24713.875,24907.5625,24326.5,-3873.75,stop,72.98770796399512,,4475.0,2025-11-25,2025
