threshold,num_trades,trades_per_day,trades_per_month,win_rate,total_pnl_pct,sharpe_ratio,profit_factor,avg_trade,max_drawdown_pct
0.4,257,0.658974358974359,13.838461538461539,51.36186770428015,0.48761589519434745,0.19362187517764057,1.0291308656583429,0.0018973381135966828,-2.663921492384462
0.425,222,0.5692307692307692,11.953846153846154,50.9009009009009,-0.37155426044737905,-0.16989035182553303,0.9751741874020354,-0.0016736678398530588,-2.4818965449408212
0.45,195,0.5,10.5,51.28205128205128,0.6342692600273273,0.3289933933193887,1.05007560503843,0.003252662871935012,-1.7799706705888616
0.475,171,0.43846153846153846,9.207692307692307,50.877192982456144,0.24595016041990492,0.14579244882404943,1.0218896674410263,0.0014383050316953503,-1.6664351307549303
0.5,148,0.37948717948717947,7.969230769230769,49.32432432432432,-0.2089842578195445,-0.14087034485955557,0.9793330189593381,-0.0014120557960780034,-1.9166727778881323
0.525,124,0.31794871794871793,6.676923076923076,48.38709677419355,-0.2988788616048641,-0.24265668397632173,0.9643099794730914,-0.0024103134000392264,-1.8755297860069282
0.55,107,0.2743589743589744,5.761538461538462,50.467289719626166,0.06299430187439392,0.05903608553242389,1.008781581026146,0.0005887317932186348,-1.6606792745070817
0.575,96,0.24615384615384617,5.1692307692307695,50.0,0.031082548342639682,0.031504620435462656,1.0046854310336695,0.00032377654523583,-1.5933739230156239
0.6,78,0.2,4.2,46.15384615384615,-0.808601465092748,-1.009993850210251,0.8628223926064935,-0.010366685449907025,-1.6362936059822324
0.625,60,0.15384615384615385,3.230769230769231,45.0,-0.5098594570016408,-0.8039199866745349,0.8895399467847932,-0.008497657616694014,-1.6786262799273457
0.65,41,0.10512820512820513,2.207692307692308,41.46341463414634,-0.5334243992249146,-1.1944174606746276,0.8428976466734863,-0.013010351200607673,-1.3446969606162247
0.675,34,0.08717948717948718,1.8307692307692307,38.23529411764706,-1.3105625252481101,-3.8336232959536507,0.5820820517445301,-0.038545956624944415,-1.6106849883214935
0.7,23,0.05897435897435897,1.2384615384615385,47.82608695652174,0.0072996055006402105,0.03135128427710799,1.0045055598601986,0.00031737415220174826,-0.5756751948134415
