sl_multiplier,atr_threshold,volume_ratio,total_trades,wins,losses,win_rate,profit_factor,total_pnl,expectancy,avg_win,avg_loss,meets_wr_target,meets_pf_target,meets_both
2.3,0.65,2.1,1632,1461,171,89.52205882352942,4.594117311168483,402833.6999999998,246.83437499999985,352.4401779603011,655.4467836257321,True,True,True
2.3,0.65,2.25,1312,1169,143,89.10060975609755,4.218054371979232,355065.07499999984,270.62886814024375,398.11839178785283,771.5756993007002,True,True,True
2.3,0.65,2.4,1100,971,129,88.27272727272727,4.175802355591744,322515.7499999998,293.1961363636362,436.73516992790934,787.2410852713188,True,True,True
2.3,0.7,2.1,1629,1458,171,89.50276243093923,4.591866268622619,402581.3999999998,247.13406998158368,352.99231824417006,655.4467836257321,True,True,True
2.3,0.7,2.25,1309,1166,143,89.07563025210085,4.215767706308015,354812.77499999985,271.0563598166538,398.9263293310463,771.5756993007002,True,True,True
2.3,0.7,2.4,1097,968,129,88.24065633546034,4.173317965498187,322263.44999999984,293.76795806745656,437.82804752066113,787.2410852713188,True,True,True
2.3,0.75,2.1,1626,1455,171,89.48339483394834,4.589704446946586,402339.0999999998,247.44102091020898,353.55360824742263,655.4467836257321,True,True,True
2.3,0.75,2.25,1307,1164,143,89.05891354246366,4.214197946124683,354639.57499999984,271.3386189747512,399.462972508591,771.5756993007002,True,True,True
2.3,0.75,2.4,1095,966,129,88.21917808219179,4.171612470594486,322090.2499999998,294.14634703196333,438.5552277432712,787.2410852713188,True,True,True
2.4,0.65,2.1,1632,1461,171,89.52205882352942,4.405355228564414,398031.19999999995,243.89166666666665,352.4401779603011,683.5315789473683,True,True,True
2.4,0.65,2.25,1312,1169,143,89.10060975609755,4.044394447174598,350327.45,267.01787347560975,398.11839178785283,804.7059440559437,True,True,True
2.4,0.65,2.4,1100,971,129,88.27272727272727,4.003865832161798,318154.75,289.2315909090909,436.73516992790934,821.0472868217051,True,True,True
2.4,0.7,2.1,1629,1458,171,89.50276243093923,4.4031966763600465,397778.89999999997,244.18594229588703,352.99231824417006,683.5315789473683,True,True,True
2.4,0.7,2.25,1309,1166,143,89.07563025210085,4.042201924952825,350075.15,267.43708938120704,398.9263293310463,804.7059440559437,True,True,True
2.4,0.7,2.4,1097,968,129,88.24065633546034,4.0014837355580095,317902.45,289.7925706472197,437.82804752066113,821.0472868217051,True,True,True
2.4,0.75,2.1,1626,1455,171,89.48339483394834,4.401123679138017,397536.6,244.48745387453874,353.55360824742263,683.5315789473683,True,True,True
2.4,0.75,2.25,1307,1164,143,89.05891354246366,4.040696792773629,349901.95,267.7138102524866,399.462972508591,804.7059440559437,True,True,True
2.4,0.75,2.4,1095,966,129,88.21917808219179,3.9998484635335294,317729.25,290.163698630137,438.5552277432712,821.0472868217051,True,True,True
2.5,0.65,2.1,1632,1461,171,89.52205882352942,4.2314925907907535,393228.69999999995,240.9489583333333,352.4401779603011,711.6163742690059,True,True,True
2.5,0.65,2.25,1312,1169,143,89.10060975609755,3.8844684619867653,345589.82499999995,263.40687881097557,398.11839178785283,837.8361888111888,True,True,True
2.5,0.65,2.4,1100,971,129,88.27272727272727,3.8455281788166245,313793.74999999994,285.2670454545454,436.73516992790934,854.8534883720931,True,True,True
2.5,0.7,2.1,1629,1458,171,89.50276243093923,4.229419228442948,392976.39999999997,241.23781461019027,352.99231824417006,711.6163742690059,True,True,True
2.5,0.7,2.25,1309,1166,143,89.07563025210085,3.8823626378556315,345337.52499999997,263.8178189457601,398.9263293310463,837.8361888111888,True,True,True
2.5,0.7,2.4,1097,968,129,88.24065633546034,3.8432402850663014,313541.44999999995,285.81718322698265,437.82804752066113,854.8534883720931,True,True,True
2.5,0.75,2.1,1626,1455,171,89.48339483394834,4.2274280445472945,392734.1,241.53388683886837,353.55360824742263,711.6163742690059,True,True,True
2.5,0.75,2.25,1307,1164,143,89.05891354246366,3.880917022558317,345164.32499999995,264.0890015302218,399.462972508591,837.8361888111888,True,True,True
2.5,0.75,2.4,1095,966,129,88.21917808219179,3.8416696818258895,313368.24999999994,286.1810502283104,438.5552277432712,854.8534883720931,True,True,True
2.6,0.65,2.1,1632,1461,171,89.52205882352942,4.070832302281069,388426.19999999995,238.00624999999997,352.4401779603011,739.7011695906434,True,True,True
2.6,0.65,2.25,1312,1169,143,89.10060975609755,3.7367091615936627,340852.1999999999,259.7958841463414,398.11839178785283,870.9664335664338,True,True,True
2.6,0.65,2.4,1100,971,129,88.27272727272727,3.699237419648611,309432.74999999994,281.30249999999995,436.73516992790934,888.659689922481,True,True,True
2.6,0.7,2.1,1629,1458,171,89.50276243093923,4.068837660854035,388173.89999999997,238.28968692449354,352.99231824417006,739.7011695906434,True,True,True
2.6,0.7,2.25,1309,1166,143,89.07563025210085,3.734683439824902,340599.8999999999,260.1985485103131,398.9263293310463,870.9664335664338,True,True,True
2.6,0.7,2.4,1097,968,129,88.24065633546034,3.6970365614622125,309180.44999999995,281.8417958067456,437.82804752066113,888.659689922481,True,True,True
2.6,0.75,2.1,1626,1455,171,89.48339483394834,4.066922077747533,387931.5999999999,238.580319803198,353.55360824742263,739.7011695906434,True,True,True
2.6,0.75,2.25,1307,1164,143,89.05891354246366,3.7332928135452765,340426.6999999999,260.4641928079571,399.462972508591,870.9664335664338,True,True,True
2.6,0.75,2.4,1095,966,129,88.21917808219179,3.6955257067738088,309007.24999999994,282.198401826484,438.5552277432712,888.659689922481,True,True,True
2.7,0.65,2.1,1632,1461,171,89.52205882352942,3.921925579283949,383623.7000000001,235.06354166666674,352.4401779603011,767.7859649122796,True,True,True
2.7,0.65,2.25,1312,1169,143,89.10060975609755,3.599779016763829,336114.57500000007,256.1848894817074,398.11839178785283,904.0966783216774,True,True,True
2.7,0.65,2.4,1100,971,129,88.27272727272727,3.5636690837920972,305071.75000000006,277.3379545454546,436.73516992790934,922.4658914728674,True,True,True
2.7,0.7,2.1,1629,1458,171,89.50276243093923,3.9200038997223023,383371.40000000014,235.3415592387969,352.99231824417006,767.7859649122796,True,True,True
2.7,0.7,2.25,1309,1166,143,89.07563025210085,3.5978275267222872,335862.2750000001,256.57927807486635,398.9263293310463,904.0966783216774,True,True,True
2.7,0.7,2.4,1097,968,129,88.24065633546034,3.561548881872907,304819.45000000007,277.86640838650874,437.82804752066113,922.4658914728674,True,True,True
2.7,0.75,2.1,1626,1455,171,89.48339483394834,3.9181583866117706,383129.10000000015,235.62675276752776,353.55360824742263,767.7859649122796,True,True,True
2.7,0.75,2.25,1307,1164,143,89.05891354246366,3.596487859361229,335689.07500000007,256.8393840856925,399.462972508591,904.0966783216774,True,True,True
2.7,0.75,2.4,1095,966,129,88.21917808219179,3.56009339644919,304646.25000000006,278.2157534246576,438.5552277432712,922.4658914728674,True,True,True
